2018-07-12T14:11:48.851Z info: Init for 173
2018-07-12T14:11:49.219Z info: Printer status : idle
2018-07-12T14:11:55.286Z info: Printer status : idle
2018-07-12T14:12:01.289Z info: Printer status : idle
2018-07-12T14:12:07.288Z info: Printer status : idle
2018-07-12T14:12:13.350Z info: Printer status : idle
2018-07-12T14:12:19.328Z info: Printer status : idle
2018-07-12T14:12:25.342Z info: Printer status : idle
2018-07-12T14:12:31.361Z info: Printer status : idle
2018-07-12T14:12:37.364Z info: Printer status : idle
2018-07-12T14:12:43.443Z info: Printer status : idle
2018-07-12T14:12:49.406Z info: Printer status : idle
2018-07-12T14:12:55.423Z info: Printer status : idle
2018-07-12T14:13:01.437Z info: Printer status : idle
2018-07-12T14:13:07.461Z info: Printer status : idle
2018-07-12T14:13:13.479Z info: Printer status : idle
2018-07-12T14:13:19.483Z info: Printer status : idle
2018-07-12T14:13:25.506Z info: Printer status : idle
2018-07-12T14:13:31.513Z info: Printer status : idle
2018-07-12T14:13:37.543Z info: Printer status : idle
2018-07-12T14:13:43.565Z info: Printer status : idle
2018-07-12T14:13:49.557Z info: Printer status : idle
2018-07-12T14:13:55.561Z info: Printer status : idle
2018-07-12T14:14:01.587Z info: Printer status : idle
2018-07-12T14:14:07.627Z info: Printer status : idle
2018-07-12T14:14:13.625Z info: Printer status : 
